date,United Kingdom Services PMI
2022-03-01,62.6
2022-04-01,58.9
2022-05-01,53.4
2022-06-01,54.3
2022-07-01,52.6
2022-08-01,50.9
2022-09-01,50.0
2022-10-01,48.8
2022-11-01,48.8
2022-12-01,49.9
2023-01-01,48.7
2023-02-01,53.5
2023-03-01,52.9
2023-04-01,55.9
2023-05-01,55.2
2023-06-01,53.7
2023-07-01,51.5
2023-08-01,49.5
2023-09-01,49.3
2023-10-01,49.5
2023-11-01,50.9
2023-12-01,53.4
2024-01-01,54.3
2024-02-01,53.8
2024-03-01,53.1
2024-04-01,55.0
2024-05-01,52.9
2024-06-01,52.1
2024-07-01,52.5
2024-08-01,53.7
2024-09-01,52.4
2024-10-01,52.0
2024-11-01,50.8
2024-12-01,51.1
2025-01-01,50.8
2025-02-01,51.0
2025-03-01,52.5
